Visibility(mi),total_accidentes,severidad_promedio
0.0,4858,2.0909839440098805
0.06,155,2.0193548387096776
0.1,48,2.625
0.12,1111,2.083708370837084
0.19,25,2.32
0.2,832,2.4435096153846154
0.25,18964,2.083473950643324
0.31,2,2.0
0.38,210,2.1809523809523808
0.4,2,3.0
0.5,19049,2.100267730589532
0.6,12,2.0
0.63,154,2.0779220779220777
0.75,14817,2.0859148275629344
0.8,945,2.5121693121693123
0.88,95,2.1473684210526316
1.0,62841,2.0849922821088143
1.1,1,2.0
1.2,610,2.5311475409836066
1.5,816,2.4779411764705883
1.6,1,2.0
1.8,596,2.5167785234899327
1.9,1,4.0
2.0,66796,2.083597820228756
2.5,1103,2.5095194922937445
2.8,2,2.0
3.0,55769,2.09211210529147
4.0,56286,2.085278754930178
5.0,64195,2.0848041124698184
6.0,57691,2.0711202787263177
7.0,91006,2.085664681449575
8.0,65457,2.0678766212933684
9.0,84037,2.0716470126253914
10.0,2875759,2.0727866973553764
12.0,18,2.5555555555555554
13.0,3605,2.036615811373093
14.0,3,2.6666666666666665
15.0,3198,2.1294559099437147
16.0,1,2.0
20.0,1436,2.2604456824512535
22.0,4,3.0
23.0,3,2.0
25.0,362,2.110497237569061
30.0,413,2.765133171912833
35.0,17,2.8823529411764706
40.0,640,2.2125
43.0,1,2.0
45.0,28,3.2142857142857144
47.0,2,3.0
50.0,209,2.492822966507177
60.0,36,2.7777777777777777
70.0,34,2.3823529411764706
75.0,40,2.4
80.0,210,2.0428571428571427
90.0,10,2.0
100.0,33,2.0
